Project ID,Start Term,X Stu First Gen No Bach ,X Stu First Gen No College ,Pell Grant?,Midterm GPA,Athlete (December),X Stu Cum Gpa (December),X Stu Housing Fall,Retained to Fall 2?,Retained to Fall 3,Fall Campus Job?,# of campus orgs (December),# Midterm D or F,% of Midterm Grades are D or F,# Non-Lab STEM Courses,# STEM Courses Earned Credit,% of STEM Courses earning credit,# Classes Passed,% of Classes Passed
1,2017FA,Yes,No,No,3,No,3.25,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
2,2017FA,No,No,No,3.25,No,3.65,RESIDENT,No,No,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
3,2017FA,No,No,No,2,No,2.1,COMMUTER,Yes,Yes,No,Data not valid,1,25.00%,1,1,100.00%,4,100.00%
4,2017FA,Yes,No,No,1,No,0.5,COMMUTER,Yes,Yes,Yes,Data not valid,3,60.00%,0,0,Not Applicable,1,25.00%
5,2017FA,No,No,No,3.5,No,3.425,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
6,2017FA,No,No,No,1.5,No,2.233,RESIDENT,Yes,No,No,Data not valid,2,50.00%,2,1,50.00%,3,75.00%
7,2017FA,No,No,No,1.5,No,2.333,RESIDENT,Yes,No,No,Data not valid,2,50.00%,2,1,50.00%,3,75.00%
8,2017FA,No,No,No,3,No,3.075,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
9,2017FA,No,No,No,3.25,No,3.675,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
10,2017FA,No,No,No,4,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
11,2017FA,No,No,No,3.75,No,3.925,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
12,2017FA,No,No,No,3.7647,No,4,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
13,2017FA,No,No,No,2.8235,No,2.753,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
14,2017FA,No,No,No,2.8235,No,2.988,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
15,2017FA,No,No,No,3.5294,No,3.529,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
16,2017FA,No,No,No,0.5,No,1.033,RESIDENT,Yes,Yes,No,Data not valid,4,100.00%,1,1,100.00%,3,75.00%
17,2017FA,No,No,Yes,2.3333,No,2.433,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
18,2017FA,No,No,No,2.5,No,2.5,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
19,2017FA,Yes,Yes,Yes,1.8824,No,1.746,RESIDENT,Yes,Yes,No,Data not valid,2,40.00%,0,0,Not Applicable,4,80.00%
20,2017FA,No,No,Yes,3,No,2.25,COMMUTER,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
21,2017FA,Yes,Yes,Yes,3.5,No,3.5,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
22,2017FA,No,No,No,1.3333,No,0.8,RESIDENT,Yes,Yes,No,Data not valid,2,66.70%,1,1,100.00%,2,66.70%
23,2017FA,No,No,No,2.1176,No,2.424,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,0,0,Not Applicable,5,100.00%
24,2017FA,Yes,Yes,Yes,3.2941,No,2.988,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
25,2017FA,No,No,No,3.25,No,2.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
26,2017FA,Yes,No,Yes,2.5,No,2.6,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
27,2017FA,No,No,No,3.25,No,3.35,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
28,2017FA,No,No,No,3,No,3.1,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
29,2017FA,No,No,No,2.25,No,1.75,RESIDENT,Yes,Yes,No,Data not valid,2,50.00%,2,2,100.00%,3,75.00%
30,2017FA,No,No,No,3.25,Yes,3.35,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
31,2017FA,No,No,Yes,4,No,4,COMMUTER,Yes,Yes,Yes,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
32,2017FA,No,No,Yes,2.5,No,3.275,COMMUTER,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
